id,title,categories,commune,listing_url,pdf_url,pdf_file,txt_file,page_count,char_count,word_count
1,L'espace intergénérationnel de la bibliothèque Saint-Nicolas,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/?loop-02g8g8zdkg=61,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2025/06/122-pe-l-espace-interge-de-la-bibliotheque-saint-nicolas.pdf,Lespace_intergenerationnel_de_la_bibliotheque_Saint-Nicolas.pdf,Lespace_intergenerationnel_de_la_bibliotheque_Saint-Nicolas.txt,2,5016,739
2,Ateliers mobilité,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/?loop-02g8g8zdkg=61,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2025/06/1050-pe-ateliers-mobilite.pdf,Ateliers_mobilite.pdf,Ateliers_mobilite.txt,2,3820,605
3,Dispositif d’accompagnement pour l’adaptation des logements des seniors,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/?loop-02g8g8zdkg=61,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2025/06/1051-pe-dispositif-d-accompagnement-pour-l-adaptation-des-logements-des-seniors.pdf,Dispositif_daccompagnement_pour_ladaptation_des_logements_des_seniors.pdf,Dispositif_daccompagnement_pour_ladaptation_des_logements_des_seniors.txt,2,3143,483
4,Voy'Âge par mots et par vies entre étudiants et résidents,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/?loop-02g8g8zdkg=61,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2025/06/124-pe-voyage-par-mots-et-par-vies-1.pdf,VoyAge_par_mots_et_par_vies_entre_etudiants_et_residents.pdf,VoyAge_par_mots_et_par_vies_entre_etudiants_et_residents.txt,2,5164,805
5,Résidence autonomie intergénérationnelle,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/?loop-02g8g8zdkg=61,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2025/06/735-pe-603-residence-autonomie-intergenerationnelle-saint-priest.pdf,Residence_autonomie_intergenerationnelle.pdf,Residence_autonomie_intergenerationnelle.txt,2,3937,581
6,La résidence alpine,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/?loop-02g8g8zdkg=61,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2025/06/736-pe-604-290422residence-alpine-nice.pdf,La_residence_alpine.pdf,La_residence_alpine.txt,2,5191,782
7,Navette seniors,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/?loop-02g8g8zdkg=61,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2025/06/1052-pe-navette-seniors.pdf,Navette_seniors.pdf,Navette_seniors.txt,2,4388,691
8,"Le service ""Messagers des aînés"" : un anniversaire, une visite",,,https://www.villesamiesdesaines-rf.fr/nos-fiches/?loop-02g8g8zdkg=61,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2025/06/126-pe-le-service-messagers-des-aines-un-anniversaire-une-visite-mise-a-jour-2023.pdf,Le_service_Messagers_des_aines_un_anniversaire_une_visite.pdf,Le_service_Messagers_des_aines_un_anniversaire_une_visite.txt,2,4188,672
9,"La résidence des personnes âgées, implantée au cœur du village de Claix",,,https://www.villesamiesdesaines-rf.fr/nos-fiches/?loop-02g8g8zdkg=61,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2025/06/737-pe-605-290422la-residence-des-personnes-agees-implantee-au-coeur-du-village-claix.pdf,La_residence_des_personnes_agees_implantee_au_cur_du_village_de_Claix.pdf,La_residence_des_personnes_agees_implantee_au_cur_du_village_de_Claix.txt,2,4825,762
10,Film hommage l'histoire du cinéma,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/?loop-02g8g8zdkg=61,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2025/06/738-pe-606-290422film-hommage-l-histoire-du-cinema-caluireetcuire.pdf,Film_hommage_lhistoire_du_cinema.pdf,Film_hommage_lhistoire_du_cinema.txt,2,3748,588
11,Dispositif Logements Bleus,,,https://www.villesamiesdesaines-rf.fr/nos-fiches/?loop-02g8g8zdkg=61,https://www.villesamiesdesaines-rf.fr/wp-content/uploads/2025/06/739-pe-607-dispositif-logements-bleus-nantes.pdf,Dispositif_Logements_Bleus.pdf,Dispositif_Logements_Bleus.txt,2,6990,1091
